,20,21,22,23,24,25,26,27,28,29,30
48,0.93400,0.93326,0.93251,0.93177,0.93101,0.93026,0.92950,0.92874,0.92798,0.92722,0.92645
49,0.93209,0.93135,0.93060,0.92983,0.92907,0.92831,0.92755,0.92678,0.92602,0.92525,0.92447
50,0.93014,0.92939,0.92863,0.92786,0.92710,0.92633,0.92556,0.92479,0.92402,0.92324,0.92247
51,0.92816,0.92740,0.92664,0.92587,0.92510,0.92433,0.92355,0.92277,0.92199,0.92121,0.92043
52,0.92616,0.92539,0.92462,0.92384,0.92307,0.92229,0.92151,0.92073,0.91994,0.91916,0.91837
53,0.92412,0.92335,0.92257,0.92179,0.92101,0.92023,0.91944,0.91865,0.91785,0.91707,0.91628
54,0.92206,0.92128,0.92050,0.91971,0.91893,0.91814,0.91735,0.91656,0.91576,0.91496,0.91416
55,0.91996,0.91918,0.91839,0.91761,0.91682,0.91602,0.91523,0.91443,0.91363,0.91283,0.91203
56,0.91784,0.91706,0.91627,0.91547,0.91468,0.91388,0.91308,0.91228,0.91148,0.91067,0.90986
57,0.91570,0.91491,0.91411,0.91332,0.91252,0.91172,0.91091,0.91011,0.90930,0.90849,0.90768
58,0.91353,0.91273,0.91194,0.91113,0.91033,0.90953,0.90872,0.90791,0.90710,0.90628,0.90547
59,0.91133,0.91053,0.90973,0.90893,0.90812,0.90731,0.90650,0.90569,0.90487,0.90405,0.90323
60,0.90911,0.90831,0.90751,0.90670,0.90589,0.90508,0.90426,0.90344,0.90262,0.90180,0.90098
61,0.90687,0.90606,0.90526,0.90444,0.90363,0.90281,0.90200,0.90117,0.90035,0.89953,0.89870
62,0.90460,0.90379,0.90298,0.90217,0.90135,0.90053,0.89971,0.89888,0.89806,0.89723,0.89640
63,0.90231,0.90150,0.90068,0.89986,0.89904,0.89822,0.89740,0.89657,0.89574,0.89491,0.89407
64,0.89999,0.89918,0.89836,0.89754,0.89671,0.89589,0.89506,0.89423,0.89340,0.89256,0.89172
65,0.89765,0.89683,0.89601,0.89519,0.89436,0.89353,0.89270,0.89187,0.89103,0.89019,0.88935
66,0.89528,0.89446,0.89364,0.89281,0.89198,0.89115,0.89032,0.88948,0.88864,0.88780,0.88696
67,0.89289,0.89207,0.89124,0.89041,0.88958,0.88875,0.88791,0.88707,0.88623,0.88538,0.88454
68,0.89048,0.88965,0.88882,0.88799,0.88715,0.88631,0.88547,0.88463,0.88379,0.88294,0.88209
69,0.88803,0.88720,0.88637,0.88553,0.88470,0.88386,0.88302,0.88217,0.88132,0.88048,0.87962
70,0.88556,0.88473,0.88389,0.88306,0.88222,0.88137,0.88053,0.87968,0.87883,0.87798,0.87713
71,0.88306,0.88223,0.88139,0.88055,0.87971,0.87886,0.87802,0.87717,0.87632,0.87546,0.87461
72,0.88054,0.87970,0.87886,0.87802,0.87717,0.87633,0.87548,0.87463,0.87377,0.87292,0.87206
73,0.87799,0.87715,0.87630,0.87546,0.87461,0.87376,0.87291,0.87206,0.87120,0.87034,0.86948
74,0.87540,0.87456,0.87372,0.87287,0.87202,0.87117,0.87031,0.86946,0.86860,0.86774,0.86688
75,0.87279,0.87195,0.87110,0.87025,0.86940,0.86855,0.86769,0.86683,0.86597,0.86511,0.86425
76,0.87015,0.86930,0.86845,0.86760,0.86675,0.86589,0.86504,0.86418,0.86331,0.86245,0.86158
77,0.86748,0.86653,0.86578,0.86492,0.86407,0.86321,0.86235,0.86149,0.86062,0.85976,0.85889
78,0.86478,0.86392,0.86307,0.86221,0.86136,0.86050,0.85963,0.85877,0.85790,0.85704,0.85617
79,0.86204,0.86119,0.86033,0.85947,0.85861,0.85775,0.85689,0.85602,0.85515,0.85428,0.85341
80,0.85927,0.85841,0.85756,0.85670,0.85583,0.85497,0.85410,0.85324,0.85237,0.85149,0.85062
81,0.85646,0.85561,0.85475,0.85388,0.85302,0.85216,0.85129,0.85042,0.84955,0.84867,0.84780
82,0.85362,0.85276,0.85190,0.85104,0.85017,0.84930,0.84843,0.84756,0.84669,0.84581,0.84494
