Wt%_EtOH,x_EtOH,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.003934506,0.998696938,0.998496768,0.998797113,0.998778614,0.998970631,0.999272755,0.999484257,0.999805587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.007917521,0.996792462,0.996492459,0.996992783,0.996773739,0.997266074,0.997266888,0.997778823,0.99779865,0.998229175,0.998468168,0.998766399,0.999174011,0.99948998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0.011949947,0.995138576,0.994738688,0.995188452,0.995019474,0.995411115,0.995511755,0.99597307,0.996042581,0.9965228,0.996711097,0.997008803,0.997415875,0.997681039,0.998005088,0.998337675,0.998628389,0.998977705,0.999284906,0.999700898,1,1,1,1,1,1,1,1,1,1,1,1
4,0.01603271,0.993334336,0.992984918,0.993384122,0.993265208,0.993656424,0.993756621,0.994167318,0.994386858,0.994766238,0.99505443,0.995401858,0.995758203,0.996022843,0.996346354,0.996577825,0.996918237,0.997266954,0.997623877,0.998089614,0.998412329,0.998843717,0.998980529,0.999629209,1,1,1,1,1,1,1,1
5,0.020166758,0.991730567,0.991481686,0.991780273,0.991761552,0.992052135,0.992001488,0.992562204,0.992630789,0.993110051,0.993297359,0.993794913,0.994000067,0.994314399,0.994838414,0.994868257,0.995208084,0.995656836,0.996214519,0.996377625,0.996649329,0.997130435,0.997316989,0.997914579,0.998419106,0.998628491,0.999148198,1,0.999982797,1,1,1
6,0.024353063,0.990176916,0.990028561,0.990226544,0.990257895,0.99049798,0.990597381,0.99095709,0.991125587,0.991403676,0.991891702,0.992087534,0.992342395,0.992706452,0.99317968,0.993359814,0.993548231,0.994046718,0.994503156,0.994816694,0.995037442,0.995517933,0.995905502,0.99630081,0.996754234,0.997114347,0.997481941,0.998382295,0.99839091,0.999033409,0.999514761,1
7,0.028592623,0.988673382,0.988324899,0.988722935,0.988603874,0.988943825,0.989092981,0.989452296,0.989720731,0.989898052,0.990385641,0.990581024,0.990684724,0.991199001,0.991520946,0.991851371,0.991888377,0.9924366,0.992892462,0.993356468,0.993425556,0.994006213,0.994494014,0.99458618,0.995089361,0.995701146,0.995815684,0.996685018,0.996799023,0.997415542,0.997837157,0.998417771
8,0.03288646,0.987169849,0.986821667,0.987169206,0.987100217,0.987339536,0.987688874,0.987847182,0.988315875,0.988442614,0.988728974,0.989024296,0.989278215,0.989641302,0.989862211,0.990342928,0.990480016,0.99097743,0.991231433,0.991745184,0.992015156,0.992393712,0.992880885,0.993224563,0.99352539,0.993985116,0.994502876,0.994987742,0.995207136,0.995797674,0.996159553,0.996730969
9,0.037235624,0.985666316,0.985318435,0.985665597,0.985596561,0.985935783,0.986184474,0.986342388,0.986810673,0.986987177,0.987072307,0.987568002,0.987871706,0.988234349,0.988454801,0.988733923,0.989172252,0.98951826,0.98987241,0.990536721,0.990705499,0.990881992,0.991267756,0.991862945,0.992465925,0.992975687,0.992836619,0.993290466,0.99361525,0.994179806,0.994481949,0.995044168
10,0.041641191,0.9842129,0.983815203,0.984262229,0.984193149,0.984431763,0.984780367,0.984887754,0.985405818,0.985481552,0.98566665,0.986061491,0.986465197,0.986777146,0.987097654,0.987275762,0.987763892,0.98780751,0.988060379,0.988421911,0.989093612,0.989370272,0.989755447,0.989946594,0.990447898,0.990704471,0.991170362,0.99159319,0.992023363,0.992561938,0.992804345,0.993357366
11,0.046104264,0.982809603,0.982562509,0.982758621,0.982940102,0.98302801,0.983275967,0.983633759,0.984000962,0.984176678,0.984260993,0.984705632,0.985058688,0.985370193,0.985489185,0.985968445,0.986456128,0.986599921,0.986953026,0.987414859,0.987582469,0.988110506,0.988646421,0.988837127,0.989337983,0.989543627,0.990160509,0.990582907,0.990911569,0.991550771,0.991792725,0.992345285
12,0.050625978,0.981406305,0.981309816,0.981355253,0.981436445,0.981724525,0.98187186,0.982229284,0.982596106,0.982771428,0.982855337,0.983299555,0.983752643,0.983963239,0.984182303,0.984661128,0.984896871,0.9852917,0.985644337,0.986004985,0.986272812,0.986850739,0.987184523,0.98752594,0.987925363,0.988332312,0.988696223,0.989067481,0.989496559,0.990034019,0.990376456,0.990928372
