W %,x_MetOH,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.005647141,0.998296934,0.998430714,0.998421205,0.998411979,0.998403034,0.99839636,0.99838599,0.998377891,0.998370074,0.99836254,0.998369198,0.998348319,0.998341632,0.998335228,0.998329106,0.998317626,0.998317712,0.998312438,0.998307448,0.99830274,0.998289554,0.998294173,0.998290314,0.998286737,0.998283443,0.998280432,0.998277703,0.998275257,0.998273093,0.998271211,0.998273303
2,0.01134416,0.996593869,0.996863813,0.996844984,0.996826692,0.996808936,0.99679506,0.996775038,0.996758895,0.996743289,0.996728222,0.996740295,0.996699702,0.99668625,0.996673336,0.996660961,0.996638684,0.996637827,0.996627068,0.996616849,0.996607168,0.996581171,0.996589423,0.996581359,0.996573834,0.996566848,0.9965604,0.996554491,0.996549121,0.99654429,0.996539996,0.996543269
3,0.017091722,0.994890803,0.995298929,0.99527096,0.995243757,0.995217321,0.995195727,0.995166747,0.995142612,0.995119243,0.995096643,0.995112925,0.995053746,0.99503345,0.995013923,0.994995165,0.994962748,0.994959955,0.994943504,0.994927822,0.99491291,0.994874469,0.994885394,0.994872789,0.994860955,0.99484989,0.994839594,0.994830067,0.99482131,0.994813321,0.994806102,0.994809674
4,0.022890501,0.993187738,0.993735692,0.993698756,0.993662791,0.993627795,0.99359798,0.993560719,0.993528638,0.993497529,0.993467394,0.993486716,0.993410041,0.993382825,0.993356583,0.993331315,0.993289389,0.993283701,0.993261357,0.993239986,0.993219591,0.993169065,0.993181726,0.993164257,0.993147762,0.993132243,0.993117698,0.993104129,0.993091535,0.993079917,0.993069273,0.993072287
5,0.028741185,0.991384492,0.992173727,0.992127989,0.992083402,0.992039965,0.992001438,0.991956546,0.991916565,0.991877737,0.991840063,0.991861298,0.991768175,0.991733963,0.991700906,0.991669004,0.991618174,0.991608667,0.991580232,0.991552954,0.991526832,0.991464569,0.991478059,0.991455408,0.991433914,0.991413577,0.991394397,0.991376374,0.991359509,0.991343801,0.991329251,0.991330879
6,0.034644475,0.989781607,0.990612655,0.990558272,0.990505197,0.99045343,0.990405714,0.990353822,0.990305982,0.990259453,0.990214234,0.990236291,0.990127732,0.990086449,0.990046479,0.990007822,0.989948665,0.98993445,0.989899735,0.989866335,0.98983425,0.989760592,0.989774026,0.989745888,0.989719065,0.989693559,0.989669369,0.989646496,0.989624939,0.989604699,0.989585775,0.989585216
7,0.040601083,0.988078541,0.989052091,0.988989215,0.98892778,0.988867787,0.988810417,0.988752133,0.988696472,0.988642257,0.988589488,0.988611315,0.988488291,0.988439863,0.988392885,0.988347355,0.988280422,0.988260644,0.988219465,0.988179736,0.988141458,0.988056737,0.988069259,0.988035338,0.988002869,0.987971854,0.987942292,0.987914184,0.987887529,0.987862329,0.987838583,0.987835061
8,0.046611734,0.986475656,0.987491651,0.987420422,0.987350748,0.987282629,0.987215154,0.987151062,0.987087616,0.987025728,0.9869654,0.986985986,0.986849427,0.986793783,0.986739702,0.986687184,0.986613,0.986586841,0.986539017,0.986492759,0.986448067,0.986352607,0.986363385,0.986323396,0.986284975,0.986248122,0.98621284,0.986179126,0.986146983,0.98611641,0.986087409,0.986080179
